point,stem,optionA,optionB,optionC,optionD,answer,note
一般现在时,He ___ to school every day.,go,goes,going,went,B,主语第三人称单数，动词加 -s
一般现在时,My mother ___ TV in the evening.,watch,watches,watching,watched,B,主语第三人称单数，动词加 -es
现在进行时,Look! The boys ___ football.,play,plays,are playing,played,C,Look! 提示正在发生，be + doing
现在进行时,She ___ a book now.,reads,is reading,read,reading,B,now 提示现在进行时
一般过去时,I ___ my grandpa last weekend.,visit,visits,visited,visiting,C,last weekend 提示过去时
一般过去时,They ___ to the zoo yesterday.,go,goes,went,going,C,yesterday 提示过去时，go 的过去式 went
一般将来时,We ___ a picnic tomorrow.,have,has,will have,had,C,tomorrow 提示将来，will + 动词原形
一般将来时,I ___ visit my aunt next week.,am going to,go to,went to,going to,A,be going to 表计划
名词复数,There are three ___ on the desk.,book,books,bookes,bookss,B,一般名词复数加 -s
名词复数,I can see two ___ in the box.,watch,watches,watchs,watching,B,以 ch 结尾加 -es
be 动词,My friends ___ very kind.,is,am,are,be,C,复数主语用 are
be 动词,She ___ a new student.,are,is,am,be,B,第三人称单数用 is
形容词性物主代词,This is ___ book. （我的）,my,mine,I,me,A,后面接名词用形容词性物主代词 my
形容词性物主代词,___ classroom is big. （我们的）,Our,Ours,We,Us,A,后面接名词用 our
情态动词 can,— ___ you swim? — Yes，I can.,Can,Do,Are,Am,A,询问能力用 Can
情态动词 can,He ___ play the piano very well.,can,is,does,has,A,can + 动词原形
特殊疑问句,— ___ do you live? — I live in Beijing.,What,Where,Who,How,B,问地点用 where
特殊疑问句,— ___ is your name? — My name is Tom.,What,Where,Who,How,A,问事物（名字）用 what
一般疑问句,— ___ he like English? — Yes，he does.,Do,Does,Is,Are,B,第三人称单数用 Does 提问
一般疑问句,___ you like bananas?,Does,Do,Is,Are,B,主语 you 用 Do 提问
祈使句,___ the door，please.,Opens,Opening,Open,Opened,C,祈使句以动词原形开头
祈使句,___ run in the classroom.,Not,No,Don't,Doesn't,C,否定祈使句用 Don't 开头
there be 句型,There ___ a cat under the chair.,are,is,be,am,B,单数名词用 there is
there be 句型,There ___ two dogs in the garden.,is,are,be,am,B,复数名词用 there are
过去进行时,I ___ my homework at eight last night.,did,was doing,am doing,do,B,过去某时刻正在做，was/were + doing
过去进行时,They ___ football at five yesterday.,played,play,were playing,are playing,C,过去进行时 were + doing
现在完成时,I ___ my homework already.,finish,finished,have finished,am finishing,C,already 提示完成时 have/has + 过去分词
现在完成时,She ___ here for ten years.,lives,lived,has lived,is living,C,for + 时间段提示完成时
过去完成时,The train ___ when I arrived at the station.,left,had left,leaves,is leaving,B,过去的过去用 had + 过去分词
过去完成时,He ___ 500 words before last term.,learned,has learned,had learned,learns,C,before 过去时表示更早用过去完成时
被动语态,English ___ all over the world.,speaks,is spoken,spoken,speaking,B,被动语态 be + 过去分词
被动语态,The bridge ___ in 1990.,built,was built,is built,builds,B,过去时间被动 was/were + 过去分词
比较级与最高级,Tom is ___ than Jack.,tall,taller,tallest,the tallest,B,比较级 + than
比较级与最高级,He is ___ boy in our class.,taller,the tallest,tall,most tall,B,最高级前加 the
动词不定式,I want ___ English well.,learn,learning,to learn,learned,C,want to do 不定式作宾语
动词不定式,My mother asks me ___ milk every day.,drink,drinks,to drink,drinking,C,ask sb to do sth
动名词,___ English every morning is a good habit.,Read,Reads,Reading,To read,C,动名词作主语
动名词,I enjoy ___ basketball after school.,play,plays,playing,played,C,enjoy + doing
情态动词表推测,The book ___ be hers; her name is on it.,can't,must,might,shouldn't,B,语气最强的肯定推测用 must
情态动词表推测,He ___ be at home; the light is off.,must,mustn't,can't,may,C,灯关着表示"不可能"用 can't
宾语从句,I think ___ English is interesting.,what,that,if whether,how,B,that 引导陈述宾语从句
宾语从句,Do you know ___ he lives?,what,that,where,when,C,从句缺地点状语用 where
定语从句,I like the book ___ you gave me.,who,which,what,whose,B,指物用 which/that
定语从句,The girl ___ is singing is my sister.,which,who,whose,whom,B,指人作主语用 who
状语从句,I will call you ___ I arrive.,before,when,because,until,B,when 引导时间状语从句
状语从句,___ it rains tomorrow，we will stay at home.,Because,Although,If,When,C,if 引导条件状语从句
if 条件句,If you ___ hard，you will pass the exam.,study,will study,studied,studying,A,主将从现：从句一般现在时
if 条件句,If he ___，I will tell him the news.,will come,comes,came,coming,B,主将从现：从句一般现在时
