subject,path,textbook,semester,chapter,order,word,ipa,meaning,partOfSpeech,example,translation
英语,词汇,人教版 PEP,六年级上册,Unit 1 How can I get there?,1,science museum,ˌsaɪəns mjuˈziːəm,科学博物馆,n.,The science museum is interesting.,科学博物馆很有趣。
英语,词汇,人教版 PEP,六年级上册,Unit 1 How can I get there?,2,post office,pəʊst ˈɒfɪs,邮局,n.,The post office is near here.,邮局在附近。
英语,词汇,人教版 PEP,六年级上册,Unit 1 How can I get there?,3,bookstore,ˈbʊkstɔː(r),书店,n.,I buy books in the bookstore.,我在书店买书。
英语,词汇,人教版 PEP,六年级上册,Unit 1 How can I get there?,4,cinema,ˈsɪnəmə,电影院,n.,Let us go to the cinema.,我们去电影院吧。
英语,词汇,人教版 PEP,六年级上册,Unit 1 How can I get there?,5,hospital,ˈhɒspɪtl,医院,n.,The hospital is big.,医院很大。
英语,词汇,人教版 PEP,六年级上册,Unit 1 How can I get there?,6,turn left,tɜːn left,左转,phr.,Turn left at the corner.,在拐角处左转。
英语,词汇,人教版 PEP,六年级上册,Unit 1 How can I get there?,7,turn right,tɜːn raɪt,右转,phr.,Turn right at the cinema.,在电影院右转。
英语,词汇,人教版 PEP,六年级上册,Unit 1 How can I get there?,8,go straight,ɡəʊ streɪt,直走,phr.,Go straight for five minutes.,直走五分钟。
英语,词汇,人教版 PEP,六年级上册,Unit 1 How can I get there?,9,crossing,ˈkrɒsɪŋ,十字路口,n.,Turn left at the crossing.,在十字路口左转。
英语,词汇,人教版 PEP,六年级上册,Unit 1 How can I get there?,10,near,nɪə(r),近的；在附近,adj./prep.,My home is near the school.,我家在学校附近。
英语,词汇,人教版 PEP,六年级上册,Unit 1 How can I get there?,11,far,fɑː(r),远的,adj.,The museum is far from here.,博物馆离这里很远。
英语,词汇,人教版 PEP,六年级上册,Unit 1 How can I get there?,12,ask,ɑːsk,问；询问,v.,Ask the policeman for help.,向警察求助。
英语,词汇,人教版 PEP,六年级上册,Unit 2 Ways to go to school,1,on foot,ɒn fʊt,步行,phr.,I go to school on foot.,我步行上学。
英语,词汇,人教版 PEP,六年级上册,Unit 2 Ways to go to school,2,by bike,baɪ baɪk,骑自行车,phr.,He goes to work by bike.,他骑自行车上班。
英语,词汇,人教版 PEP,六年级上册,Unit 2 Ways to go to school,3,by bus,baɪ bʌs,乘公交车,phr.,She goes to school by bus.,她乘公交车上学。
英语,词汇,人教版 PEP,六年级上册,Unit 2 Ways to go to school,4,by car,baɪ kɑː(r),乘小汽车,phr.,Dad goes to work by car.,爸爸开车上班。
英语,词汇,人教版 PEP,六年级上册,Unit 2 Ways to go to school,5,by train,baɪ treɪn,乘火车,phr.,We go to Beijing by train.,我们乘火车去北京。
英语,词汇,人教版 PEP,六年级上册,Unit 2 Ways to go to school,6,by plane,baɪ pleɪn,乘飞机,phr.,They go to Sanya by plane.,他们乘飞机去三亚。
英语,词汇,人教版 PEP,六年级上册,Unit 2 Ways to go to school,7,by ship,baɪ ʃɪp,乘船,phr.,We go there by ship.,我们乘船去那里。
英语,词汇,人教版 PEP,六年级上册,Unit 2 Ways to go to school,8,subway,ˈsʌbweɪ,地铁,n.,I take the subway every day.,我每天乘地铁。
英语,词汇,人教版 PEP,六年级上册,Unit 2 Ways to go to school,9,slow down,sləʊ daʊn,减速,phr.,Slow down at the crossing.,在十字路口减速。
英语,词汇,人教版 PEP,六年级上册,Unit 2 Ways to go to school,10,stop,stɒp,停；停止,v.,Stop at the red light.,红灯停。
英语,词汇,人教版 PEP,六年级上册,Unit 2 Ways to go to school,11,wait,weɪt,等待,v.,Wait at the yellow light.,黄灯等一等。
英语,词汇,人教版 PEP,六年级上册,Unit 2 Ways to go to school,12,traffic lights,ˈtræfɪk laɪts,红绿灯,n.,Look at the traffic lights.,看红绿灯。
英语,词汇,人教版 PEP,六年级上册,Unit 3 My weekend plan,1,weekend,ˌwiːkˈend,周末,n.,What is your weekend plan?,你的周末计划是什么？
英语,词汇,人教版 PEP,六年级上册,Unit 3 My weekend plan,2,plan,plæn,计划,n./v.,I have a good plan.,我有一个好计划。
英语,词汇,人教版 PEP,六年级上册,Unit 3 My weekend plan,3,visit,ˈvɪzɪt,参观；看望,v.,I will visit my grandpa.,我要去看爷爷。
英语,词汇,人教版 PEP,六年级上册,Unit 3 My weekend plan,4,film,fɪlm,电影,n.,We will see a film tonight.,我们今晚要看电影。
英语,词汇,人教版 PEP,六年级上册,Unit 3 My weekend plan,5,see a film,siː ə fɪlm,看电影,phr.,Let us see a film.,我们看电影吧。
英语,词汇,人教版 PEP,六年级上册,Unit 3 My weekend plan,6,trip,trɪp,旅行,n.,We will take a trip.,我们要去旅行。
英语,词汇,人教版 PEP,六年级上册,Unit 3 My weekend plan,7,take a trip,teɪk ə trɪp,去旅行,phr.,They take a trip in autumn.,他们秋天去旅行。
英语,词汇,人教版 PEP,六年级上册,Unit 3 My weekend plan,8,supermarket,ˈsuːpəmɑːkɪt,超市,n.,Mum goes to the supermarket.,妈妈去超市。
英语,词汇,人教版 PEP,六年级上册,Unit 3 My weekend plan,9,evening,ˈiːvnɪŋ,晚上,n.,I do homework in the evening.,我晚上做作业。
英语,词汇,人教版 PEP,六年级上册,Unit 3 My weekend plan,10,tonight,təˈnaɪt,今晚,n./adv.,What are you doing tonight?,你今晚做什么？
英语,词汇,人教版 PEP,六年级上册,Unit 3 My weekend plan,11,tomorrow,təˈmɒrəʊ,明天,n./adv.,I will play football tomorrow.,我明天踢足球。
英语,词汇,人教版 PEP,六年级上册,Unit 3 My weekend plan,12,next week,nekst wiːk,下周,phr.,We will have a test next week.,我们下周有考试。
英语,词汇,人教版 PEP,六年级上册,Unit 4 I have a pen pal,1,pen pal,pen pæl,笔友,n.,I have a pen pal in Canada.,我有一位加拿大笔友。
英语,词汇,人教版 PEP,六年级上册,Unit 4 I have a pen pal,2,hobby,ˈhɒbi,爱好,n.,What is your hobby?,你的爱好是什么？
英语,词汇,人教版 PEP,六年级上册,Unit 4 I have a pen pal,3,read stories,riːd ˈstɔːriz,读故事,phr.,He likes reading stories.,他喜欢读故事。
英语,词汇,人教版 PEP,六年级上册,Unit 4 I have a pen pal,4,play football,pleɪ ˈfʊtbɔːl,踢足球,phr.,He likes playing football.,他喜欢踢足球。
英语,词汇,人教版 PEP,六年级上册,Unit 4 I have a pen pal,5,do kung fu,duː kʌŋ ˈfuː,练功夫,phr.,She likes doing kung fu.,她喜欢练功夫。
英语,词汇,人教版 PEP,六年级上册,Unit 4 I have a pen pal,6,sing,sɪŋ,唱歌,v.,She likes singing English songs.,她喜欢唱英文歌。
英语,词汇,人教版 PEP,六年级上册,Unit 4 I have a pen pal,7,dance,dɑːns,跳舞,v.,My sister likes dancing.,我妹妹喜欢跳舞。
英语,词汇,人教版 PEP,六年级上册,Unit 4 I have a pen pal,8,live,lɪv,居住,v.,He lives in Sydney.,他住在悉尼。
英语,词汇,人教版 PEP,六年级上册,Unit 4 I have a pen pal,9,study,ˈstʌdi,学习,v.,He studies Chinese every day.,他每天学中文。
英语,词汇,人教版 PEP,六年级上册,Unit 4 I have a pen pal,10,teach,tiːtʃ,教,v.,I teach him English.,我教他英语。
英语,词汇,人教版 PEP,六年级上册,Unit 4 I have a pen pal,11,go hiking,ɡəʊ ˈhaɪkɪŋ,去远足,phr.,We go hiking in autumn.,我们秋天去远足。
英语,词汇,人教版 PEP,六年级上册,Unit 4 I have a pen pal,12,write,raɪt,写,v.,I write to my pen pal every month.,我每月给笔友写信。
