subject,path,textbook,semester,chapter,order,word,ipa,meaning,partOfSpeech,example,translation
英语,词汇,人教版 PEP,六年级下册,Unit 1 How tall are you?,1,taller,ˈtɔːlə(r),更高的,adj.,I am taller than you.,我比你高。
英语,词汇,人教版 PEP,六年级下册,Unit 1 How tall are you?,2,shorter,ˈʃɔːtə(r),更矮的；更短的,adj.,My ruler is shorter than yours.,我的尺子比你的短。
英语,词汇,人教版 PEP,六年级下册,Unit 1 How tall are you?,3,older,ˈəʊldə(r),更年长的,adj.,My brother is older than me.,我哥哥比我大。
英语,词汇,人教版 PEP,六年级下册,Unit 1 How tall are you?,4,younger,ˈjʌŋɡə(r),更年幼的,adj.,My sister is younger than me.,我妹妹比我小。
英语,词汇,人教版 PEP,六年级下册,Unit 1 How tall are you?,5,longer,ˈlɒŋɡə(r),更长的,adj.,The Yellow River is longer than the Pearl River.,黄河比珠江长。
英语,词汇,人教版 PEP,六年级下册,Unit 1 How tall are you?,6,heavier,ˈheviə(r),更重的,adj.,The elephant is heavier than the tiger.,大象比老虎重。
英语,词汇,人教版 PEP,六年级下册,Unit 1 How tall are you?,7,thinner,ˈθɪnə(r),更瘦的,adj.,He is thinner than before.,他比以前瘦了。
英语,词汇,人教版 PEP,六年级下册,Unit 1 How tall are you?,8,bigger,ˈbɪɡə(r),更大的,adj.,My school is bigger than yours.,我的学校比你的大。
英语,词汇,人教版 PEP,六年级下册,Unit 1 How tall are you?,9,smaller,ˈsmɔːlə(r),更小的,adj.,My room is smaller than yours.,我的房间比你的小。
英语,词汇,人教版 PEP,六年级下册,Unit 1 How tall are you?,10,stronger,ˈstrɒŋɡə(r),更强壮的,adj.,The tiger is stronger than the cat.,老虎比猫强壮。
英语,词汇,人教版 PEP,六年级下册,Unit 1 How tall are you?,11,than,ðæn,比,conj.,I am taller than you.,我比你高。
英语,词汇,人教版 PEP,六年级下册,Unit 1 How tall are you?,12,metre,ˈmiːtə(r),米,n.,I am 1.65 metres tall.,我身高一米六五。
英语,词汇,人教版 PEP,六年级下册,Unit 2 Last weekend,1,last weekend,lɑːst ˌwiːkˈend,上周末,phr.,I had fun last weekend.,我上周末玩得很开心。
英语,词汇,人教版 PEP,六年级下册,Unit 2 Last weekend,2,cleaned my room,kliːnd maɪ ruːm,打扫了我的房间,phr.,I cleaned my room yesterday.,我昨天打扫了房间。
英语,词汇,人教版 PEP,六年级下册,Unit 2 Last weekend,3,washed my clothes,wɒʃt maɪ kləʊðz,洗了我的衣服,phr.,I washed my clothes last night.,我昨晚洗了衣服。
英语,词汇,人教版 PEP,六年级下册,Unit 2 Last weekend,4,stayed at home,steɪd ət həʊm,待在家里,phr.,I stayed at home all day.,我整天待在家里。
英语,词汇,人教版 PEP,六年级下册,Unit 2 Last weekend,5,watched TV,wɒtʃt ˌtiː ˈviː,看了电视,phr.,I watched TV last weekend.,我上周末看了电视。
英语,词汇,人教版 PEP,六年级下册,Unit 2 Last weekend,6,read a book,riːd ə bʊk,读了一本书,phr.,I read a book yesterday.,我昨天读了一本书。
英语,词汇,人教版 PEP,六年级下册,Unit 2 Last weekend,7,saw a film,sɔː ə fɪlm,看了一场电影,phr.,I saw a film last night.,我昨晚看了一场电影。
英语,词汇,人教版 PEP,六年级下册,Unit 2 Last weekend,8,had a cold,hæd ə kəʊld,感冒了,phr.,I had a cold last week.,我上周感冒了。
英语,词汇,人教版 PEP,六年级下册,Unit 2 Last weekend,9,slept,slept,睡了（sleep 过去式）,v.,I slept early yesterday.,我昨天睡得早。
英语,词汇,人教版 PEP,六年级下册,Unit 2 Last weekend,10,yesterday,ˈjestədeɪ,昨天,n./adv.,I played football yesterday.,我昨天踢足球了。
英语,词汇,人教版 PEP,六年级下册,Unit 2 Last weekend,11,before,bɪˈfɔː(r),以前；之前,adv./prep.,I read this book before.,我以前读过这本书。
英语,词汇,人教版 PEP,六年级下册,Unit 2 Last weekend,12,drank,dræŋk,喝了（drink 过去式）,v.,I drank tea yesterday.,我昨天喝了茶。
英语,词汇,人教版 PEP,六年级下册,Unit 3 Where did you go?,1,went,went,去了（go 过去式）,v.,I went to the park yesterday.,我昨天去了公园。
英语,词汇,人教版 PEP,六年级下册,Unit 3 Where did you go?,2,rode a bike,rəʊd ə baɪk,骑了自行车,phr.,I rode a bike to school.,我骑自行车上学了。
英语,词汇,人教版 PEP,六年级下册,Unit 3 Where did you go?,3,rode a horse,rəʊd ə hɔːs,骑了马,phr.,He rode a horse on the farm.,他在农场骑了马。
英语,词汇,人教版 PEP,六年级下册,Unit 3 Where did you go?,4,went camping,went ˈkæmpɪŋ,去露营了,phr.,We went camping last weekend.,我们上周末去露营了。
英语,词汇,人教版 PEP,六年级下册,Unit 3 Where did you go?,5,went fishing,went ˈfɪʃɪŋ,去钓鱼了,phr.,Grandpa went fishing yesterday.,爷爷昨天去钓鱼了。
英语,词汇,人教版 PEP,六年级下册,Unit 3 Where did you go?,6,hurt my foot,hɜːt maɪ fʊt,伤了脚,phr.,I hurt my foot yesterday.,我昨天伤了脚。
英语,词汇,人教版 PEP,六年级下册,Unit 3 Where did you go?,7,took pictures,tʊk ˈpɪktʃəz,拍了照片,phr.,I took many pictures in the park.,我在公园拍了很多照片。
英语,词汇,人教版 PEP,六年级下册,Unit 3 Where did you go?,8,bought gifts,bɔːt ɡɪfts,买了礼物,phr.,I bought gifts for my friends.,我给朋友们买了礼物。
英语,词汇,人教版 PEP,六年级下册,Unit 3 Where did you go?,9,ate fresh food,eɪt freʃ fuːd,吃了新鲜食物,phr.,We ate fresh food on the farm.,我们在农场吃了新鲜食物。
英语,词汇,人教版 PEP,六年级下册,Unit 3 Where did you go?,10,went swimming,went ˈswɪmɪŋ,去游泳了,phr.,We went swimming in the sea.,我们去海里游泳了。
英语,词汇,人教版 PEP,六年级下册,Unit 3 Where did you go?,11,holiday,ˈhɒlədeɪ,假期,n.,Where did you go on holiday?,你假期去了哪里？
英语,词汇,人教版 PEP,六年级下册,Unit 3 Where did you go?,12,fell off,fel ɒf,摔下来,phr.,I fell off my bike.,我从自行车上摔了下来。
英语,词汇,人教版 PEP,六年级下册,Unit 4 Then and now,1,ago,əˈɡəʊ,以前,adv.,I was short two years ago.,两年前我很矮。
英语,词汇,人教版 PEP,六年级下册,Unit 4 Then and now,2,before,bɪˈfɔː(r),以前；之前,adv.,I was quiet before.,我以前很安静。
